idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,8.85,8.85,0,5,0,0,20,0,0,0
2,18.24,18.24,1,6,0,2,20,0,0,0
3,13.04,13.04,1,6,0,1,20,0,0,0
4,9.25,9.25,0,6,0,0,20,0,0,0
5,19.28,19.28,1,6,0,3,20,0,0,0
6,6.88,6.88,0,1,0,0,20,1,0,0
7,6.72,6.72,0,1,0,1,20,2,0,0
8,8.03,8.03,0,1,0,2,20,3,0,0
9,14.4,14.4,0,5,0,1,20,4,0,0
10,15.92,15.92,0,5,0,2,20,5,0,0
11,14.18,14.18,0,1,0,3,20,6,0,0
12,10.08,10.08,0,4,0,0,20,7,0,0
13,7.52,7.52,0,2,0,0,20,8,0,0
14,20.24,20.24,0,6,0,4,20,9,0,0
15,6.57,6.57,0,2,0,1,20,10,0,0
16,12.85,12.85,0,1,0,4,20,11,0,0
17,20.73,20.73,0,5,0,3,20,12,0,0
18,7.07,7.07,0,3,0,0,20,13,0,0
19,18.66,18.66,0,4,0,1,20,14,0,0
20,5.43,5.43,0,2,0,2,20,15,0,0
21,22.87,22.87,0,5,0,4,20,16,0,0
22,16.32,16.32,0,3,0,1,20,17,0,0
23,5.08,5.08,0,2,0,3,20,18,0,0
24,23.65,23.65,0,4,0,2,20,19,0,0
25,7.88,7.88,0,2,0,4,20,20,0,0
