idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,23.26,23.26,1,2,0,2,20,0,0,0
2,8.41,8.41,0,1,0,0,20,0,0,0
3,19.56,19.56,0,2,0,0,20,0,0,0
4,21.17,21.17,0,2,0,1,20,0,0,0
5,11.2,11.2,0,1,0,1,20,0,0,0
6,19.72,19.72,0,1,0,2,20,1,0,0
7,19.7,19.7,0,3,0,0,20,2,0,0
8,21.13,21.13,0,1,0,3,20,3,0,0
9,14.19,14.19,0,5,0,0,20,4,0,0
10,15.4,15.4,0,5,0,1,20,5,0,0
11,15.27,15.27,0,6,0,0,20,6,0,0
12,8.94,8.94,0,4,0,0,20,7,0,0
13,8.88,8.88,0,4,0,1,20,8,0,0
14,16.21,16.21,0,4,0,2,20,9,0,0
15,6.4,6.4,0,3,0,1,20,10,0,0
16,18.88,18.88,0,4,0,3,20,11,0,0
17,9.42,9.42,0,3,0,2,20,12,0,0
18,13.68,13.68,0,3,0,3,20,13,0,0
19,6.01,6.01,0,3,0,4,20,14,0,0
20,18.13,18.13,0,5,0,2,20,15,0,0
21,22.96,22.96,0,1,0,4,20,16,0,0
22,15.5,15.5,0,6,0,1,20,17,0,0
23,17.29,17.29,0,6,0,2,20,18,0,0
24,18.27,18.27,0,5,0,3,20,19,0,0
25,22.69,22.69,0,5,0,4,20,20,0,0
