idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,6.94,6.94,0,3,0,0,20,0,0,0
2,13.14,13.14,0,4,0,0,20,0,0,0
3,22.86,22.86,1,3,0,3,20,0,0,0
4,21.68,21.68,0,3,0,1,20,0,0,0
5,20.11,20.11,0,3,0,2,20,0,0,0
6,15.33,15.33,0,5,0,0,20,1,0,0
7,16.49,16.49,0,5,0,1,20,2,0,0
8,19.55,19.55,0,5,0,2,20,3,0,0
9,21.22,21.22,0,5,0,3,20,4,0,0
10,23.67,23.67,0,3,0,4,20,5,0,0
11,10.18,10.18,0,1,0,0,20,6,0,0
12,6.16,6.16,0,1,0,1,20,7,0,0
13,13.49,13.49,0,4,0,1,20,8,0,0
14,15.46,15.46,0,6,0,0,20,9,0,0
15,20.78,20.78,0,6,0,1,20,10,0,0
16,6.86,6.86,0,2,0,0,20,11,0,0
17,12.01,12.01,0,2,0,1,20,12,0,0
18,8.12,8.12,0,2,0,2,20,13,0,0
19,6.08,6.08,0,1,0,2,20,14,0,0
20,19.6,19.6,0,6,0,2,20,15,0,0
21,20.44,20.44,0,5,0,4,20,16,0,0
22,5.72,5.72,0,1,0,3,20,17,0,0
23,14.94,14.94,0,4,0,2,20,18,0,0
24,15.41,15.41,0,4,0,3,20,19,0,0
25,6.35,6.35,0,1,0,4,20,20,0,0
