idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,9.21,9.21,1,6,0,1,20,0,0,0
2,23.87,23.87,0,3,0,0,20,0,0,0
3,8.74,8.74,0,6,0,0,20,0,0,0
4,21.31,21.31,0,3,0,1,20,0,0,0
5,20.64,20.64,0,3,0,2,20,0,0,0
6,8.88,8.88,0,1,0,0,20,1,0,0
7,18.22,18.22,0,5,0,0,20,2,0,0
8,20.7,20.7,0,5,0,1,20,3,0,0
9,20.7,20.7,0,5,0,2,20,4,0,0
10,16.06,16.06,0,4,0,0,20,5,0,0
11,14.73,14.73,0,6,0,2,20,6,0,0
12,20.14,20.14,0,5,0,3,20,7,0,0
13,19.02,19.02,0,4,0,1,20,8,0,0
14,14.59,14.59,0,1,0,1,20,9,0,0
15,18.23,18.23,0,4,0,2,20,10,0,0
16,21.32,21.32,0,4,0,3,20,11,0,0
17,10.05,10.05,0,2,0,0,20,12,0,0
18,10.34,10.34,0,1,0,2,20,13,0,0
19,5.2,5.2,0,2,0,1,20,14,0,0
20,17.88,17.88,0,6,0,3,20,15,0,0
21,14.84,14.84,0,1,0,3,20,16,0,0
22,20.39,20.39,0,4,0,4,20,17,0,0
23,15.83,15.83,0,1,0,4,20,18,0,0
24,16.53,16.53,0,2,0,2,20,19,0,0
25,21.73,21.73,0,5,0,4,20,20,0,0
