idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,22.52,22.52,1,1,0,4,20,0,0,0
2,15.51,15.51,1,1,0,1,20,0,0,0
3,21.45,21.45,1,1,0,3,20,0,0,0
4,16.43,16.43,1,1,0,2,20,0,0,0
5,9.43,9.43,0,1,0,0,20,0,0,0
6,17.42,17.42,0,5,0,0,20,1,0,0
7,8.84,8.84,0,3,0,0,20,2,0,0
8,18.32,18.32,0,5,0,1,20,3,0,0
9,11.5,11.5,0,3,0,1,20,4,0,0
10,16.69,16.69,0,3,0,2,20,5,0,0
11,13.11,13.11,0,4,0,0,20,6,0,0
12,17.72,17.72,0,3,0,3,20,7,0,0
13,20.29,20.29,0,6,0,0,20,8,0,0
14,12.46,12.46,0,2,0,0,20,9,0,0
15,21.0,21.0,0,3,0,4,20,10,0,0
16,22.02,22.02,0,5,0,2,20,11,0,0
17,16.03,16.03,0,4,0,1,20,12,0,0
18,22.71,22.71,0,5,0,3,20,13,0,0
19,16.36,16.36,0,4,0,2,20,14,0,0
20,14.35,14.35,0,2,0,1,20,15,0,0
21,14.43,14.43,0,2,0,2,20,16,0,0
22,20.96,20.96,0,4,0,3,20,17,0,0
23,6.44,6.44,0,2,0,3,20,18,0,0
24,22.32,22.32,0,6,0,1,20,19,0,0
25,5.5,5.5,0,2,0,4,20,20,0,0
