idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,2,20.56,0,0,1,20
2,2,0,0,20.92,0,0,0,20
3,2,0,1,19.66,0,0,0,20
4,3,0,0,6.47,0,0,1,20
5,3,0,1,12.03,0,0,1,20
6,4,0,0,10.72,1,0,0,20
7,2,0,3,20.78,2,0,0,20
8,2,0,4,23.13,3,0,0,20
9,3,0,2,19.44,4,0,0,20
10,4,0,1,11.88,5,0,0,20
11,5,0,0,13.62,6,0,0,20
12,5,0,1,17.66,7,0,0,20
13,3,0,3,21.55,8,0,0,20
14,1,0,0,5.5,9,0,0,20
15,4,0,2,14.07,10,0,0,20
16,3,0,4,21.99,11,0,0,20
17,4,0,3,15.73,12,0,0,20
18,5,0,2,18.71,13,0,0,20
19,1,0,1,6.04,14,0,0,20
20,6,0,0,12.48,15,0,0,20
21,6,0,1,14.08,16,0,0,20
22,1,0,2,10.1,17,0,0,20
23,1,0,3,8.35,18,0,0,20
24,4,0,4,18.34,19,0,0,20
25,1,0,4,9.98,20,0,0,20
