idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,13.93,13.93,1,2,0,2,20,0,0,0
2,5.26,5.26,0,3,0,0,20,0,0,0
3,8.83,8.83,1,2,0,1,20,0,0,0
4,7.8,7.8,0,2,0,0,20,0,0,0
5,15.21,15.21,1,2,0,3,20,0,0,0
6,7.66,7.66,0,1,0,0,20,1,0,0
7,11.09,11.09,0,6,0,0,20,2,0,0
8,18.46,18.46,0,2,0,4,20,3,0,0
9,23.75,23.75,0,6,0,1,20,4,0,0
10,8.36,8.36,0,5,0,0,20,5,0,0
11,16.2,16.2,0,5,0,1,20,6,0,0
12,5.71,5.71,0,1,0,1,20,7,0,0
13,21.92,21.92,0,6,0,2,20,8,0,0
14,6.43,6.43,0,1,0,2,20,9,0,0
15,7.77,7.77,0,1,0,3,20,10,0,0
16,10.79,10.79,0,1,0,4,20,11,0,0
17,22.71,22.71,0,6,0,3,20,12,0,0
18,16.52,16.52,0,5,0,2,20,13,0,0
19,9.96,9.96,0,3,0,1,20,14,0,0
20,9.52,9.52,0,4,0,0,20,15,0,0
21,22.53,22.53,0,5,0,3,20,16,0,0
22,15.67,15.67,0,3,0,2,20,17,0,0
23,7.53,7.53,0,4,0,1,20,18,0,0
24,16.32,16.32,0,3,0,3,20,19,0,0
25,7.39,7.39,0,4,0,2,20,20,0,0
