idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,4,18.92,0,0,1,20
2,1,0,1,7.2,0,0,1,20
3,1,0,3,17.73,0,0,1,20
4,1,0,2,10.66,0,0,1,20
5,1,0,0,6.73,0,0,0,20
6,6,0,0,17.39,1,0,0,20
7,5,0,0,12.66,2,0,0,20
8,5,0,1,15.95,3,0,0,20
9,6,0,1,23.27,4,0,0,20
10,2,0,0,12.86,5,0,0,20
11,5,0,2,19.5,6,0,0,20
12,2,0,1,14.28,7,0,0,20
13,2,0,2,12.02,8,0,0,20
14,5,0,3,20.36,9,0,0,20
15,6,0,2,23.4,10,0,0,20
16,5,0,4,22.71,11,0,0,20
17,2,0,3,13.14,12,0,0,20
18,3,0,0,5.5,13,0,0,20
19,2,0,4,18.07,14,0,0,20
20,6,0,3,23.71,15,0,0,20
21,3,0,1,8.29,16,0,0,20
22,3,0,2,18.74,17,0,0,20
23,4,0,0,8.57,18,0,0,20
24,4,0,1,11.02,19,0,0,20
25,3,0,3,15.98,20,0,0,20
26,4,0,2,11.19,21,0,0,20
27,3,0,4,20.33,22,0,0,20
