idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,0,10.12,0,10.12,0,0,20
2,2,0,0,7.66,3,307.66,0,0,20
3,2,0,1,5.36,1,105.36,0,0,20
4,2,0,4,17.45,3,317.45,0,1,20
5,2,0,2,10.13,2,210.13,0,0,20
6,3,0,1,11.74,0,11.74,0,1,20
7,2,0,3,16.01,2,216.01,0,1,20
8,3,0,2,21.19,1,121.19,1,0,20
9,1,0,0,14.99,0,14.99,2,0,20
10,3,0,3,14.34,3,314.34,3,0,20
11,1,0,1,9.67,3,309.67,4,0,20
12,1,0,2,11.88,3,311.88,5,0,20
13,4,0,0,9.91,0,9.91,6,0,20
14,4,0,1,8.04,2,208.04,7,0,20
15,5,0,0,21.85,1,121.85,8,0,20
16,4,0,2,11.61,3,311.61,9,0,20
17,6,0,0,16.81,1,116.81,10,0,20
18,5,0,1,23.75,1,123.75,11,0,20
19,6,0,1,8.59,1,108.59,12,0,20
20,6,0,2,5.79,0,5.79,13,0,20
