idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,0,11.95,1,111.95,0,0,20
2,6,0,4,7.31,3,307.31,0,1,20
3,6,0,2,12.3,2,212.3,0,1,20
4,6,0,3,12.78,2,212.78,0,1,20
5,6,0,0,20.1,0,20.1,0,0,20
6,3,0,1,17.89,3,317.89,0,0,20
7,6,0,1,8.22,1,108.22,0,1,20
8,1,0,0,23.8,1,123.8,1,0,20
9,2,0,0,22.34,1,122.34,2,0,20
10,4,0,0,11.68,1,111.68,3,0,20
11,5,0,0,5.28,1,105.28,4,0,20
12,1,0,1,9.04,3,309.04,5,0,20
13,2,0,1,6.98,3,306.98,6,0,20
14,5,0,1,20.73,0,20.73,7,0,20
15,4,0,1,16.38,2,216.38,8,0,20
16,1,0,2,15.0,3,315.0,9,0,20
17,5,0,2,14.88,0,14.88,10,0,20
18,5,0,3,12.31,2,212.31,11,0,20
19,2,0,2,6.99,3,306.99,12,0,20
20,5,0,4,8.3,1,108.3,13,0,20
