idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,11.42,0,11.42,0,0,20
2,2,0,3,17.04,1,117.03999999999999,0,1,20
3,2,0,1,19.45,0,19.45,0,0,20
4,6,0,1,18.49,3,318.49,0,1,20
5,6,0,0,23.28,2,223.28,0,0,20
6,2,0,2,9.19,1,109.19,0,1,20
7,2,0,4,17.28,1,117.28,0,1,20
8,1,0,0,16.98,1,116.98,1,0,20
9,3,0,0,12.72,0,12.72,2,0,20
10,1,0,1,5.17,3,305.17,3,0,20
11,1,0,2,7.32,3,307.32,4,0,20
12,3,0,1,7.31,1,107.31,5,0,20
13,3,0,2,19.22,1,119.22,6,0,20
14,3,0,3,20.52,2,220.52,7,0,20
15,4,0,0,16.31,2,216.31,8,0,20
16,5,0,0,20.4,0,20.4,9,0,20
17,5,0,1,6.77,0,6.77,10,0,20
18,5,0,2,9.38,2,209.38,11,0,20
19,5,0,3,8.98,1,108.98,12,0,20
20,4,0,1,19.26,1,119.26,13,0,20
