idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,3,15.66,1,115.66,0,1,20
2,1,0,0,23.87,2,223.87,0,0,20
3,3,0,1,20.77,0,20.77,0,1,20
4,1,0,1,19.54,3,319.54,0,0,20
5,3,0,2,12.82,1,112.82,0,1,20
6,3,0,4,22.02,2,222.02,0,1,20
7,3,0,0,11.74,0,11.74,0,1,20
8,2,0,0,12.75,1,112.75,1,0,20
9,1,0,2,21.8,3,321.8,2,0,20
10,2,0,1,5.63,3,305.63,3,0,20
11,4,0,0,12.23,0,12.23,4,0,20
12,4,0,1,10.58,2,210.58,5,0,20
13,5,0,0,14.83,1,114.83,6,0,20
14,5,0,1,18.31,1,118.31,7,0,20
15,4,0,2,21.19,2,221.19,8,0,20
16,6,0,0,16.76,0,16.76,9,0,20
17,5,0,2,17.62,2,217.62,10,0,20
18,6,0,1,16.58,2,216.57999999999998,11,0,20
19,4,0,3,22.92,2,222.92000000000002,12,0,20
20,6,0,2,6.97,0,6.97,13,0,20
