idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,6.14,2,206.14,0,0,20
2,5,0,0,17.69,2,217.69,0,0,20
3,5,0,1,5.32,3,305.32,0,0,20
4,5,0,2,7.92,0,7.92,0,0,20
5,5,0,4,20.13,2,220.13,0,1,20
6,2,0,1,20.09,3,320.09,0,0,20
7,5,0,3,12.62,2,212.62,0,0,20
8,1,0,0,10.69,3,310.69,1,0,20
9,3,0,0,18.14,2,218.14,2,0,20
10,4,0,0,13.97,0,13.97,3,0,20
11,4,0,1,9.97,1,109.97,4,0,20
12,4,0,2,14.43,2,214.43,5,0,20
13,6,0,0,15.11,1,115.11,6,0,20
14,3,0,1,22.73,2,222.73,7,0,20
15,6,0,1,11.26,1,111.26,8,0,20
16,6,0,2,13.75,2,213.75,9,0,20
17,6,0,3,18.69,1,118.69,10,0,20
18,1,0,1,18.74,3,318.74,11,0,20
19,6,0,4,18.7,1,118.7,12,0,20
20,4,0,3,6.72,0,6.72,13,0,20
