idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,2,23.02,2,223.02,0,1,20
2,6,0,1,22.29,2,222.29,0,1,20
3,6,0,3,15.45,3,315.45,0,1,20
4,1,0,0,17.24,1,117.24,0,0,20
5,1,0,1,19.33,3,319.33,0,1,20
6,6,0,4,18.45,3,318.45,0,1,20
7,6,0,0,19.93,0,19.93,0,1,20
8,2,0,0,21.89,2,221.89,1,0,20
9,2,0,1,13.8,3,313.8,2,0,20
10,3,0,0,13.85,2,213.85,3,0,20
11,4,0,0,21.61,1,121.61,4,0,20
12,3,0,1,8.95,3,308.95,5,0,20
13,3,0,2,13.35,3,313.35,6,0,20
14,5,0,0,10.54,1,110.53999999999999,7,0,20
15,2,0,2,15.72,3,315.72,8,0,20
16,5,0,1,8.38,0,8.38,9,0,20
17,5,0,2,12.35,1,112.35,10,0,20
18,5,0,3,23.37,0,23.37,11,0,20
19,5,0,4,11.2,1,111.2,12,0,20
20,4,0,1,6.51,0,6.51,13,0,20
