idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,23.77,1,123.77,0,0,20
2,5,0,0,15.64,3,315.64,0,0,20
3,5,0,1,23.2,1,123.2,0,0,20
4,5,0,2,12.43,0,12.43,0,0,20
5,5,0,3,7.59,2,207.59,0,0,20
6,5,0,4,11.39,3,311.39,0,1,20
7,2,0,1,21.9,3,321.9,0,1,20
8,1,0,0,15.76,0,15.76,1,0,20
9,1,0,1,14.24,3,314.24,2,0,20
10,3,0,0,10.45,0,10.45,3,0,20
11,3,0,1,16.8,0,16.8,4,0,20
12,3,0,2,20.14,0,20.14,5,0,20
13,3,0,3,14.74,1,114.74,6,0,20
14,4,0,0,11.4,0,11.4,7,0,20
15,6,0,0,10.2,0,10.2,8,0,20
16,4,0,1,17.17,1,117.17,9,0,20
17,4,0,2,8.59,2,208.59,10,0,20
18,3,0,4,5.15,2,205.15,11,0,20
19,4,0,3,12.6,2,212.6,12,0,20
20,6,0,1,7.63,2,207.63,13,0,20
