idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,11.11,2,211.11,0,0,20
2,5,0,1,5.25,0,5.25,0,0,20
3,6,0,3,19.75,3,319.75,0,1,20
4,5,0,2,17.21,1,117.21000000000001,0,0,20
5,6,0,2,18.82,2,218.82,0,1,20
6,6,0,0,8.83,0,8.83,0,0,20
7,6,0,1,8.72,2,208.72,0,1,20
8,5,0,3,14.94,2,214.94,1,0,20
9,1,0,0,13.39,0,13.39,2,0,20
10,5,0,4,18.17,3,318.17,3,0,20
11,1,0,1,22.54,0,22.54,4,0,20
12,2,0,0,8.67,3,308.67,5,0,20
13,1,0,2,8.66,3,308.66,6,0,20
14,3,0,0,11.14,1,111.14,7,0,20
15,2,0,1,18.71,3,318.71,8,0,20
16,3,0,1,18.58,2,218.57999999999998,9,0,20
17,1,0,3,16.66,3,316.66,10,0,20
18,3,0,2,18.39,3,318.39,11,0,20
19,4,0,0,13.98,0,13.98,12,0,20
20,4,0,1,17.77,1,117.77,13,0,20
