idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,7.62,1,0,0,20
2,1,0,1,10.13,2,0,0,20
3,6,0,0,22.49,3,0,0,20
4,5,0,0,16.3,4,0,0,20
5,5,0,1,20.04,5,0,0,20
6,4,0,0,13.32,6,0,0,20
7,4,0,1,19.78,7,0,0,20
8,1,0,2,18.05,8,0,0,20
9,3,0,0,7.8,9,0,0,20
10,3,0,1,12.89,10,0,0,20
11,5,0,2,22.14,11,0,0,20
12,2,0,0,7.09,12,0,0,20
13,3,0,2,17.19,13,0,0,20
14,2,0,1,8.49,14,0,0,20
15,2,0,2,17.18,15,0,0,20
16,2,0,3,13.74,16,0,0,20
17,2,0,4,5.55,17,0,0,20
18,1,0,3,11.73,18,0,0,20
19,1,0,4,15.71,19,0,0,20
20,3,0,3,7.72,20,0,0,20
