idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,14.59,1,114.59,0,0,20
2,2,0,0,5.46,0,5.46,0,0,20
3,1,0,0,5.71,2,205.71,0,0,20
4,2,0,4,6.33,3,306.33,0,1,20
5,1,0,1,11.22,1,111.22,0,0,20
6,6,0,1,8.98,1,108.98,0,0,20
7,2,0,1,8.78,0,8.78,0,1,20
8,1,0,2,12.42,0,12.42,0,0,20
9,2,0,3,22.62,1,122.62,0,1,20
10,1,0,3,9.86,1,109.86,0,0,20
11,1,0,4,19.34,3,319.34,0,0,20
12,6,0,4,17.24,2,217.24,0,1,20
13,6,0,2,18.88,1,118.88,0,0,20
14,2,0,2,11.68,0,11.68,0,1,20
15,6,0,3,16.85,2,216.85,0,1,20
16,3,0,0,5.99,0,5.99,1,0,20
17,3,0,1,17.17,2,217.17000000000002,2,0,20
18,4,0,0,14.08,1,114.08,3,0,20
19,5,0,0,15.57,0,15.57,4,0,20
20,4,0,1,22.4,1,122.4,5,0,20
21,5,0,1,23.52,0,23.52,6,0,20
22,5,0,2,17.06,1,117.06,7,0,20
23,3,0,2,9.37,3,309.37,8,0,20
24,5,0,3,16.37,0,16.37,9,0,20
25,5,0,4,22.73,0,22.73,10,0,20
