idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,18.81,1,118.81,0,0,20
2,3,0,3,5.65,1,105.65,0,1,20
3,6,0,1,18.38,2,218.38,0,1,20
4,3,0,0,17.31,0,17.31,0,0,20
5,4,0,1,22.53,2,222.53,0,0,20
6,6,0,0,18.99,0,18.99,0,0,20
7,2,0,1,12.99,3,312.99,0,1,20
8,4,0,2,11.66,3,311.66,0,0,20
9,1,0,0,11.23,0,11.23,0,1,20
10,3,0,2,5.41,1,105.41,0,1,20
11,3,0,4,7.37,1,107.37,0,1,20
12,2,0,0,22.88,1,122.88,0,1,20
13,3,0,1,22.92,0,22.92,0,1,20
14,2,0,3,19.16,3,319.16,0,1,20
15,2,0,2,13.66,3,313.66,0,2,20
16,1,0,1,12.28,1,112.28,1,0,20
17,4,0,3,18.64,3,318.64,2,0,20
18,5,0,0,10.75,0,10.75,3,0,20
19,5,0,1,11.3,1,111.3,4,0,20
20,1,0,2,15.58,1,115.58,5,0,20
21,5,0,2,20.77,0,20.77,6,0,20
22,5,0,3,23.0,0,23.0,7,0,20
23,5,0,4,17.71,0,17.71,8,0,20
24,6,0,2,12.8,3,312.8,9,0,20
25,6,0,3,17.91,3,317.91,10,0,20
