idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.26,0,0,20,0,13.26
2,6,0,0,14.8,0,0,20,0,14.8
3,1,0,1,11.36,0,0,20,0,11.36
4,4,0,3,15.3,0,1,20,0,15.3
5,5,0,0,13.03,0,0,20,0,13.03
6,5,0,3,6.63,0,1,20,0,6.63
7,6,0,4,20.03,0,1,20,0,20.03
8,6,0,1,8.54,0,0,20,0,8.54
9,4,0,0,19.58,0,0,20,0,19.58
10,6,0,2,14.37,0,0,20,0,14.37
11,4,0,1,7.16,0,0,20,0,7.16
12,5,0,1,11.37,0,0,20,0,11.37
13,4,0,2,11.81,0,0,20,0,11.81
14,6,0,3,16.2,0,1,20,0,16.2
15,5,0,2,6.3,0,0,20,0,6.3
16,4,0,4,22.94,1,0,20,0,22.94
17,5,0,4,20.62,2,0,20,0,20.62
18,2,0,0,15.66,3,0,20,0,15.66
19,1,0,2,12.16,4,0,20,0,12.16
20,2,0,1,18.87,5,0,20,0,18.87
21,1,0,3,14.7,6,0,20,0,14.7
22,3,0,0,11.53,7,0,20,0,11.53
23,3,0,1,6.29,8,0,20,0,6.29
24,3,0,2,16.84,9,0,20,0,16.84
25,3,0,3,13.23,10,0,20,0,13.23
