idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.42,0,0,20,0,13.42
2,1,0,1,11.35,0,0,20,0,11.35
3,1,0,2,19.86,0,0,20,0,19.86
4,1,0,3,19.91,0,0,20,0,19.91
5,4,0,0,16.2,0,0,20,0,16.2
6,2,0,0,5.87,1,0,20,0,5.87
7,4,0,1,19.4,2,0,20,0,19.4
8,2,0,1,12.85,3,0,20,0,12.85
9,2,0,2,15.67,4,0,20,0,15.67
10,1,0,4,22.98,5,0,20,0,22.98
11,3,0,0,7.74,6,0,20,0,7.74
12,3,0,1,7.96,7,0,20,0,7.96
13,4,0,2,20.97,8,0,20,0,20.97
14,2,0,3,16.18,9,0,20,0,16.18
15,4,0,3,22.25,10,0,20,0,22.25
16,5,0,0,6.81,11,0,20,0,6.81
17,3,0,2,15.94,12,0,20,0,15.94
18,2,0,4,17.81,13,0,20,0,17.81
19,5,0,1,13.77,14,0,20,0,13.77
20,6,0,0,13.2,15,0,20,0,13.2
21,4,0,4,22.56,16,0,20,0,22.56
22,6,0,1,13.44,17,0,20,0,13.44
23,3,0,3,22.63,18,0,20,0,22.63
