idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,1,16.87,0,0,1,20
2,4,0,0,8.02,0,0,0,20
3,4,0,2,19.05,0,0,1,20
4,4,0,3,22.18,1,0,0,20
5,2,0,0,12.09,2,0,0,20
6,1,0,0,11.23,3,0,0,20
7,2,0,1,13.94,4,0,0,20
8,3,0,0,14.12,5,0,0,20
9,4,0,4,22.96,6,0,0,20
10,3,0,1,21.64,7,0,0,20
11,3,0,2,18.23,8,0,0,20
12,2,0,2,14.28,9,0,0,20
13,1,0,1,6.28,10,0,0,20
14,2,0,3,18.69,11,0,0,20
15,5,0,0,19.18,12,0,0,20
16,6,0,0,23.73,13,0,0,20
17,1,0,2,14.65,14,0,0,20
18,1,0,3,15.34,15,0,0,20
19,1,0,4,7.67,16,0,0,20
20,3,0,3,17.12,17,0,0,20
