idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.65,14.65,0,4,0,0,20,1,0,0
2,21.6,21.6,0,6,0,0,20,2,0,0
3,12.21,12.21,0,1,0,0,20,3,0,0
4,23.62,23.62,0,6,0,1,20,4,0,0
5,8.77,8.77,0,1,0,1,20,5,0,0
6,8.94,8.94,0,2,0,0,20,6,0,0
7,16.19,16.19,0,4,0,1,20,7,0,0
8,19.89,19.89,0,4,0,2,20,8,0,0
9,15.84,15.84,0,5,0,0,20,9,0,0
10,16.49,16.49,0,5,0,1,20,10,0,0
11,10.1,10.1,0,3,0,0,20,11,0,0
12,19.46,19.46,0,5,0,2,20,12,0,0
13,22.33,22.33,0,4,0,3,20,13,0,0
14,7.77,7.77,0,1,0,2,20,14,0,0
15,8.39,8.39,0,2,0,1,20,15,0,0
16,14.6,14.6,0,3,0,1,20,16,0,0
17,9.72,9.72,0,1,0,3,20,17,0,0
18,12.76,12.76,0,2,0,2,20,18,0,0
19,16.16,16.16,0,3,0,2,20,19,0,0
20,7.33,7.33,0,1,0,4,20,20,0,0
21,21.25,21.25,0,5,0,3,20,21,0,0
22,17.47,17.47,0,3,0,3,20,22,0,0
23,18.25,18.25,0,3,0,4,20,23,0,0
24,23.85,23.85,0,4,0,4,20,24,0,0
25,14.43,14.43,0,2,0,3,20,25,0,0
