idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.03,14.03,0,5,0,0,20,1,0,0
2,17.9,17.9,0,5,0,1,20,2,0,0
3,10.66,10.66,0,1,0,0,20,3,0,0
4,16.28,16.28,0,6,0,0,20,4,0,0
5,8.43,8.43,0,4,0,0,20,5,0,0
6,9.43,9.43,0,4,0,1,20,6,0,0
7,7.15,7.15,0,1,0,1,20,7,0,0
8,5.21,5.21,0,2,0,0,20,8,0,0
9,11.6,11.6,0,4,0,2,20,9,0,0
10,12.45,12.45,0,4,0,3,20,10,0,0
11,11.85,11.85,0,1,0,2,20,11,0,0
12,16.04,16.04,0,4,0,4,20,12,0,0
13,7.52,7.52,0,2,0,1,20,13,0,0
14,10.13,10.13,0,2,0,2,20,14,0,0
15,7.12,7.12,0,3,0,0,20,15,0,0
16,14.69,14.69,0,1,0,3,20,16,0,0
17,16.37,16.37,0,6,0,1,20,17,0,0
18,23.85,23.85,0,5,0,2,20,18,0,0
19,13.92,13.92,0,2,0,3,20,19,0,0
20,5.41,5.41,0,3,0,1,20,20,0,0
21,5.27,5.27,0,3,0,2,20,21,0,0
22,14.88,14.88,0,1,0,4,20,22,0,0
23,20.88,20.88,0,6,0,2,20,23,0,0
24,8.66,8.66,0,3,0,3,20,24,0,0
25,9.84,9.84,0,3,0,4,20,25,0,0
