idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,23.66,23.66,0,1,0,0,20,1,0,0
2,21.23,21.23,0,6,0,0,20,2,0,0
3,23.46,23.46,0,6,0,1,20,3,0,0
4,7.09,7.09,0,1,0,1,20,4,0,0
5,15.69,15.69,0,5,0,0,20,5,0,0
6,7.42,7.42,0,2,0,0,20,6,0,0
7,7.15,7.15,0,1,0,2,20,7,0,0
8,12.06,12.06,0,2,0,1,20,8,0,0
9,18.59,18.59,0,5,0,1,20,9,0,0
10,20.56,20.56,0,5,0,2,20,10,0,0
11,6.76,6.76,0,3,0,0,20,11,0,0
12,15.79,15.79,0,2,0,2,20,12,0,0
13,20.66,20.66,0,5,0,3,20,13,0,0
14,7.21,7.21,0,1,0,3,20,14,0,0
15,8.39,8.39,0,1,0,4,20,15,0,0
16,10.81,10.81,0,3,0,1,20,16,0,0
17,14.56,14.56,0,4,0,0,20,17,0,0
18,16.37,16.37,0,2,0,3,20,18,0,0
19,21.74,21.74,0,5,0,4,20,19,0,0
20,10.74,10.74,0,3,0,2,20,20,0,0
21,17.84,17.84,0,2,0,4,20,21,0,0
22,16.89,16.89,0,4,0,1,20,22,0,0
23,14.65,14.65,0,3,0,3,20,23,0,0
24,18.41,18.41,0,4,0,2,20,24,0,0
25,23.69,23.69,0,6,0,2,20,25,0,0
