idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,9.45,9.45,0,3,0,0,20,1,0,0
2,23.4,23.4,0,3,0,1,20,2,0,0
3,15.8,15.8,0,3,0,2,20,3,0,0
4,6.94,6.94,0,1,0,0,20,4,0,0
5,5.42,5.42,0,1,0,1,20,5,0,0
6,9.65,9.65,0,1,0,2,20,6,0,0
7,18.1,18.1,0,3,0,3,20,7,0,0
8,15.05,15.05,0,5,0,0,20,8,0,0
9,17.22,17.22,0,5,0,1,20,9,0,0
10,5.53,5.53,0,2,0,0,20,10,0,0
11,11.5,11.5,0,4,0,0,20,11,0,0
12,22.5,22.5,0,5,0,2,20,12,0,0
13,9.5,9.5,0,1,0,3,20,13,0,0
14,12.15,12.15,0,1,0,4,20,14,0,0
15,17.16,17.16,0,6,0,0,20,15,0,0
16,14.51,14.51,0,4,0,1,20,16,0,0
17,23.12,23.12,0,6,0,1,20,17,0,0
18,6.85,6.85,0,2,0,1,20,18,0,0
19,18.55,18.55,0,4,0,2,20,19,0,0
20,16.33,16.33,0,2,0,2,20,20,0,0
21,19.51,19.51,0,3,0,4,20,21,0,0
22,11.5,11.5,0,2,0,3,20,22,0,0
23,10.53,10.53,0,2,0,4,20,23,0,0
24,5.92,5.92,0,4,0,3,20,24,0,0
25,20.13,20.13,0,4,0,4,20,25,0,0
