idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,1,12.89,1,112.89,0,1,20
2,6,0,0,5.05,1,105.05,0,0,20
3,3,0,0,8.24,3,308.24,0,0,20
4,3,0,4,17.68,3,317.68,0,1,20
5,3,0,1,11.14,3,311.14,0,0,20
6,3,0,3,12.9,3,312.9,0,1,20
7,4,0,0,7.79,0,7.79,0,1,20
8,3,0,2,12.06,3,312.06,0,1,20
9,4,0,2,15.03,1,115.03,0,1,20
10,4,0,3,17.28,1,117.28,0,1,20
11,4,0,4,15.64,2,215.64,1,0,20
12,6,0,1,5.1,2,205.1,2,0,20
13,1,0,0,8.27,2,208.27,3,0,20
14,2,0,0,22.87,1,122.87,4,0,20
15,5,0,0,6.13,0,6.13,5,0,20
16,1,0,1,20.23,2,220.23,6,0,20
17,1,0,2,16.75,3,316.75,7,0,20
18,2,0,1,23.19,1,123.19,8,0,20
19,6,0,2,16.01,2,216.01,9,0,20
20,2,0,2,23.91,2,223.91,10,0,20
21,5,0,1,9.42,0,9.42,11,0,20
22,5,0,2,13.19,0,13.19,12,0,20
23,6,0,3,22.23,2,222.23,13,0,20
