idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,21.59,0,21.59,0,0,20
2,6,0,2,10.12,1,110.12,0,1,20
3,5,0,4,21.14,3,321.14,0,1,20
4,5,0,0,12.82,2,212.82,0,0,20
5,6,0,1,5.77,1,105.77,0,0,20
6,3,0,0,13.8,0,13.8,0,1,20
7,3,0,1,15.14,0,15.14,0,1,20
8,5,0,2,15.83,2,215.83,0,1,20
9,5,0,1,17.98,1,117.98,0,0,20
10,5,0,3,8.39,3,308.39,0,1,20
11,6,0,3,6.27,2,206.27,1,0,20
12,6,0,4,16.43,2,216.43,2,0,20
13,1,0,0,16.49,2,216.49,3,0,20
14,2,0,0,5.55,0,5.55,4,0,20
15,1,0,1,23.72,2,223.72,5,0,20
16,3,0,2,23.69,2,223.69,6,0,20
17,2,0,1,14.36,1,114.36,7,0,20
18,2,0,2,23.1,1,123.1,8,0,20
19,4,0,0,15.16,0,15.16,9,0,20
20,4,0,1,5.59,0,5.59,10,0,20
21,4,0,2,12.88,0,12.88,11,0,20
22,4,0,3,9.45,1,109.45,12,0,20
23,4,0,4,14.21,1,114.21000000000001,13,0,20
