idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,21.74,2,221.74,0,0,20
2,5,0,1,11.92,3,311.92,0,0,20
3,3,0,1,8.44,0,8.44,0,1,20
4,2,0,0,15.9,0,15.9,0,0,20
5,2,0,1,5.25,1,105.25,0,0,20
6,2,0,3,22.98,1,122.98,0,1,20
7,3,0,0,7.28,0,7.28,0,0,20
8,1,0,0,10.83,0,10.83,0,1,20
9,2,0,2,16.49,1,116.49,0,2,20
10,1,0,1,12.98,0,12.98,0,2,20
11,1,0,2,9.95,1,109.95,1,0,20
12,2,0,4,23.7,3,323.7,2,0,20
13,1,0,3,18.99,2,218.99,3,0,20
14,3,0,2,22.47,1,122.47,4,0,20
15,3,0,3,13.95,2,213.95,5,0,20
16,1,0,4,15.02,3,315.02,6,0,20
17,4,0,0,17.36,1,117.36,7,0,20
18,5,0,2,17.72,3,317.72,8,0,20
19,4,0,1,19.67,1,119.67,9,0,20
20,3,0,4,7.73,3,307.73,10,0,20
21,6,0,0,16.35,0,16.35,11,0,20
22,6,0,1,18.27,0,18.27,12,0,20
23,4,0,2,16.3,2,216.3,13,0,20
