idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,3,13.16,3,313.16,0,1,20
2,4,0,0,11.04,1,111.03999999999999,0,0,20
3,4,0,2,19.37,1,119.37,0,1,20
4,1,0,0,7.1,0,7.1,0,0,20
5,4,0,4,18.35,3,318.35,0,1,20
6,1,0,1,9.59,0,9.59,0,0,20
7,5,0,2,9.69,1,109.69,0,1,20
8,4,0,1,15.26,1,115.26,0,0,20
9,5,0,1,5.91,1,105.91,0,1,20
10,5,0,0,23.27,0,23.27,0,1,20
11,5,0,3,8.5,2,208.5,1,0,20
12,2,0,0,8.02,2,208.02,2,0,20
13,1,0,2,12.55,0,12.55,3,0,20
14,3,0,0,18.09,0,18.09,4,0,20
15,5,0,4,16.78,3,316.78,5,0,20
16,6,0,0,10.4,0,10.4,6,0,20
17,2,0,1,11.8,2,211.8,7,0,20
18,2,0,2,20.82,2,220.82,8,0,20
19,2,0,3,22.98,2,222.98,9,0,20
20,3,0,1,15.22,1,115.22,10,0,20
21,6,0,1,11.58,0,11.58,11,0,20
22,1,0,3,13.25,1,113.25,12,0,20
23,6,0,2,8.69,0,8.69,13,0,20
