idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,6.36,0,0,0,20
2,6,0,0,20.85,0,0,0,20
3,2,0,1,18.39,0,0,1,20
4,2,0,0,7.48,0,0,1,20
5,6,0,1,10.7,0,0,0,20
6,2,0,4,22.54,0,0,1,20
7,6,0,2,5.89,0,0,0,20
8,2,0,3,20.69,0,0,1,20
9,4,0,1,13.46,0,0,1,20
10,1,0,1,10.54,0,0,1,20
11,4,0,0,10.39,0,0,0,20
12,4,0,3,17.13,0,0,1,20
13,2,0,2,20.68,0,0,2,20
14,4,0,2,13.91,0,0,1,20
15,4,0,4,22.67,0,0,1,20
16,1,0,2,16.72,1,0,0,20
17,1,0,3,22.03,2,0,0,20
18,3,0,0,21.21,3,0,0,20
19,5,0,0,15.24,4,0,0,20
20,5,0,1,7.53,5,0,0,20
21,5,0,2,14.56,6,0,0,20
22,5,0,3,17.3,7,0,0,20
23,3,0,1,21.55,8,0,0,20
