idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,3,16.97,3,316.97,0,1,20
2,1,0,0,10.62,1,110.62,0,0,20
3,5,0,0,22.45,2,222.45,0,0,20
4,2,0,0,21.75,0,21.75,0,0,20
5,1,0,1,19.58,0,19.58,0,0,20
6,1,0,2,16.67,3,316.67,0,0,20
7,2,0,1,6.66,0,6.66,0,0,20
8,6,0,0,22.01,0,22.01,0,0,20
9,1,0,3,7.62,2,207.62,0,0,20
10,5,0,1,13.34,2,213.34,0,0,20
11,2,0,3,7.09,2,207.09,0,1,20
12,5,0,2,22.98,2,222.98,0,0,20
13,1,0,4,14.96,2,214.96,0,0,20
14,2,0,4,8.39,2,208.39,0,1,20
15,2,0,2,9.57,1,109.57,0,1,20
16,6,0,1,14.88,3,314.88,1,0,20
17,3,0,0,19.39,2,219.39,2,0,20
18,4,0,0,15.89,1,115.89,3,0,20
19,4,0,1,21.05,1,121.05,4,0,20
20,3,0,1,8.21,3,308.21,5,0,20
21,4,0,2,10.16,0,10.16,6,0,20
22,4,0,3,8.03,1,108.03,7,0,20
23,6,0,2,15.67,3,315.67,8,0,20
