idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,0,11.22,2,211.22,0,0,20
2,2,0,0,12.93,1,112.93,0,0,20
3,3,0,1,8.1,3,308.1,0,0,20
4,5,0,0,10.31,1,110.31,0,0,20
5,2,0,1,16.94,1,116.94,0,2,20
6,5,0,1,22.04,0,22.04,0,0,20
7,3,0,4,23.65,3,323.65,0,1,20
8,5,0,4,16.3,2,216.3,0,1,20
9,4,0,2,21.47,0,21.47,0,1,20
10,4,0,1,20.56,0,20.56,0,2,20
11,3,0,2,9.72,3,309.72,0,1,20
12,4,0,0,6.87,0,6.87,0,1,20
13,5,0,2,8.89,2,208.89,0,0,20
14,3,0,3,23.06,3,323.06,0,1,20
15,5,0,3,6.11,2,206.11,0,0,20
16,2,0,2,7.63,3,307.63,1,0,20
17,1,0,0,10.0,0,10.0,2,0,20
18,4,0,3,11.56,2,211.56,3,0,20
19,2,0,3,20.05,3,320.05,4,0,20
20,1,0,1,5.64,2,205.64,5,0,20
21,6,0,0,18.7,0,18.7,6,0,20
22,4,0,4,16.17,3,316.17,7,0,20
23,6,0,1,17.9,1,117.9,8,0,20
