idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,4,9.67,2,209.67,0,1,20
2,3,0,0,23.99,3,323.99,0,0,20
3,2,0,0,9.13,1,109.13,0,0,20
4,3,0,3,22.3,2,222.3,0,1,20
5,4,0,3,19.67,1,119.67,0,1,20
6,4,0,0,6.97,1,106.97,0,0,20
7,3,0,1,10.33,3,310.33,0,0,20
8,4,0,1,7.51,1,107.51,0,1,20
9,2,0,1,8.59,0,8.59,0,0,20
10,3,0,2,15.1,2,215.1,0,0,20
11,4,0,2,9.46,1,109.46000000000001,0,1,20
12,2,0,2,7.68,0,7.68,0,0,20
13,3,0,4,6.61,3,306.61,0,1,20
14,2,0,4,18.46,0,18.46,0,1,20
15,2,0,3,16.83,0,16.83,0,1,20
16,1,0,0,13.48,0,13.48,1,0,20
17,1,0,1,14.91,0,14.91,2,0,20
18,1,0,2,17.62,3,317.62,3,0,20
19,1,0,3,21.1,3,321.1,4,0,20
20,5,0,0,12.92,0,12.92,5,0,20
21,5,0,1,16.31,1,116.31,6,0,20
22,5,0,2,18.81,3,318.81,7,0,20
23,5,0,3,19.25,3,319.25,8,0,20
