idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,4,0,1,15.43,0,1,20,0,15.43
2,4,0,0,14.58,0,0,20,0,14.58
3,4,0,2,17.06,0,1,20,0,17.06
4,1,0,0,18.25,1,0,20,0,18.25
5,2,0,0,10.76,2,0,20,0,10.76
6,3,0,0,7.65,3,0,20,0,7.65
7,1,0,1,22.99,4,0,20,0,22.99
8,2,0,1,10.98,5,0,20,0,10.98
9,2,0,2,15.59,6,0,20,0,15.59
10,2,0,3,16.05,7,0,20,0,16.05
11,3,0,1,16.45,8,0,20,0,16.45
12,4,0,3,19.44,9,0,20,0,19.44
13,5,0,0,7.32,10,0,20,0,7.32
14,3,0,2,20.18,11,0,20,0,20.18
15,3,0,3,22.53,12,0,20,0,22.53
16,5,0,1,11.14,13,0,20,0,11.14
17,2,0,4,16.85,14,0,20,0,16.85
18,4,0,4,19.76,15,0,20,0,19.76
19,3,0,4,22.94,16,0,20,0,22.94
20,5,0,2,11.61,17,0,20,0,11.61
