idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.61,1,0,20,0,13.61
2,1,0,1,15.21,2,0,20,0,15.21
3,2,0,0,12.44,3,0,20,0,12.44
4,3,0,0,5.78,4,0,20,0,5.78
5,3,0,1,12.07,5,0,20,0,12.07
6,1,0,2,20.31,6,0,20,0,20.31
7,4,0,0,9.51,7,0,20,0,9.51
8,2,0,1,13.77,8,0,20,0,13.77
9,3,0,2,12.58,9,0,20,0,12.58
10,5,0,0,9.37,10,0,20,0,9.37
11,1,0,3,21.86,11,0,20,0,21.86
12,2,0,2,23.65,12,0,20,0,23.65
13,3,0,3,12.79,13,0,20,0,12.79
14,3,0,4,20.21,14,0,20,0,20.21
15,4,0,1,16.88,15,0,20,0,16.88
16,6,0,0,8.2,16,0,20,0,8.2
17,6,0,1,5.93,17,0,20,0,5.93
18,5,0,1,15.34,18,0,20,0,15.34
19,6,0,2,6.12,19,0,20,0,6.12
20,1,0,4,22.79,20,0,20,0,22.79
