,,MIP,,Heurstic_1,,Heurstic_2,
,,total_relocation,mean_relocation,total_reloc,mean_reloc,total_reloc,mean_reloc
"Initial_0, New_25",,0,0,0,0,138,4.6
"Intial_5, New_20",,0,0,76,2.53,276,9.2
"Initial_7, New_18",,0,0,97,3.23,319,10.63
"Intial_10, New_15",,0,0,146,4.86,351,11.7
"Initial_15, New_10",,0,0,206,6.86,355,11.83
