idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,2,19.93,0,1,20,0,19.93
2,3,0,0,15.68,0,0,20,0,15.68
3,3,0,1,14.54,0,0,20,0,14.54
4,1,0,0,23.26,1,0,20,0,23.26
5,2,0,0,9.52,2,0,20,0,9.52
6,2,0,1,20.55,3,0,20,0,20.55
7,4,0,0,18.81,4,0,20,0,18.81
8,5,0,0,7.59,5,0,20,0,7.59
9,5,0,1,11.94,6,0,20,0,11.94
10,2,0,2,21.16,7,0,20,0,21.16
11,3,0,3,20.96,8,0,20,0,20.96
12,6,0,0,11.05,9,0,20,0,11.05
13,5,0,2,16.04,10,0,20,0,16.04
14,2,0,3,21.57,11,0,20,0,21.57
15,6,0,1,13.21,12,0,20,0,13.21
16,4,0,1,20.63,13,0,20,0,20.63
17,2,0,4,21.88,14,0,20,0,21.88
18,5,0,3,16.72,15,0,20,0,16.72
19,6,0,2,7.89,16,0,20,0,7.89
20,5,0,4,16.93,17,0,20,0,16.93
