idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,4,18.42,0,1,20,0,18.42
2,2,0,2,19.16,0,1,20,0,19.16
3,6,0,0,9.6,0,0,20,0,9.6
4,2,0,4,20.4,0,1,20,0,20.4
5,6,0,1,5.85,0,0,20,0,5.85
6,2,0,0,17.58,0,0,20,0,17.58
7,2,0,1,18.53,0,0,20,0,18.53
8,6,0,2,7.51,0,1,20,0,7.51
9,2,0,3,19.51,0,1,20,0,19.51
10,6,0,3,11.01,0,1,20,0,11.01
11,1,0,0,8.66,1,0,20,0,8.66
12,1,0,1,10.22,2,0,20,0,10.22
13,3,0,0,8.49,3,0,20,0,8.49
14,1,0,2,12.29,4,0,20,0,12.29
15,3,0,1,9.73,5,0,20,0,9.73
16,3,0,2,10.57,6,0,20,0,10.57
17,1,0,3,18.62,7,0,20,0,18.62
18,3,0,3,14.22,8,0,20,0,14.22
19,4,0,0,8.38,9,0,20,0,8.38
20,1,0,4,22.07,10,0,20,0,22.07
