idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,2,0,0,15.86,0,0,20,0,15.86
2,2,0,1,15.09,0,0,20,0,15.09
3,5,0,0,12.52,0,0,20,0,12.52
4,6,0,3,23.22,0,1,20,0,23.22
5,2,0,2,18.66,0,0,20,0,18.66
6,6,0,2,23.21,0,1,20,0,23.21
7,6,0,0,23.78,0,0,20,0,23.78
8,6,0,1,22.02,0,0,20,0,22.02
9,5,0,1,13.5,0,2,20,0,13.5
10,1,0,0,9.46,0,1,20,0,9.46
11,5,0,2,13.57,1,0,20,0,13.57
12,6,0,4,23.8,2,0,20,0,23.8
13,5,0,3,23.91,3,0,20,0,23.91
14,1,0,1,23.61,4,0,20,0,23.61
15,3,0,0,15.93,5,0,20,0,15.93
16,2,0,3,19.65,6,0,20,0,19.65
17,3,0,1,19.13,7,0,20,0,19.13
18,4,0,0,10.3,8,0,20,0,10.3
19,4,0,1,5.38,9,0,20,0,5.38
20,4,0,2,16.51,10,0,20,0,16.51
