idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,3,13.99,0,1,20,3,313.99
2,6,0,2,19.12,0,1,20,0,19.12
3,1,0,0,16.41,0,0,20,1,116.41
4,1,0,1,19.48,0,0,20,1,119.48
5,1,0,2,6.98,0,1,20,2,206.98
6,6,0,0,17.63,0,0,20,0,17.63
7,6,0,1,18.87,0,1,20,0,18.87
8,2,0,0,17.98,1,0,20,1,117.98
9,3,0,0,20.25,2,0,20,0,20.25
10,2,0,1,17.51,3,0,20,3,317.51
11,3,0,1,11.66,4,0,20,1,111.66
12,4,0,0,5.72,5,0,20,1,105.72
13,4,0,1,5.88,6,0,20,1,105.88
14,3,0,2,10.26,7,0,20,2,210.26
15,3,0,3,6.16,8,0,20,3,306.16
16,4,0,2,11.03,9,0,20,1,111.03
17,3,0,4,15.84,10,0,20,3,315.84
18,4,0,3,18.8,11,0,20,1,118.8
19,5,0,0,7.22,12,0,20,1,107.22
20,5,0,1,9.05,13,0,20,0,9.05
21,6,0,3,21.69,14,0,20,0,21.69
22,2,0,2,19.33,15,0,20,3,319.33
23,4,0,4,23.42,16,0,20,2,223.42000000000002
24,1,0,4,14.93,17,0,20,3,314.93
25,5,0,2,14.46,18,0,20,1,114.46000000000001
