idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,15.66,1,115.66,0,0,20
2,4,0,1,20.39,3,320.39,0,1,20
3,3,0,1,5.91,1,105.91,0,1,20
4,3,0,4,10.75,3,310.75,0,1,20
5,3,0,2,17.79,1,117.78999999999999,0,1,20
6,3,0,0,12.19,0,12.19,0,0,20
7,3,0,3,20.92,1,120.92,0,1,20
8,1,0,0,16.44,1,116.44,1,0,20
9,2,0,0,9.61,0,9.61,2,0,20
10,2,0,1,15.04,1,115.03999999999999,3,0,20
11,1,0,1,5.21,2,205.21,4,0,20
12,1,0,2,13.43,3,313.43,5,0,20
13,5,0,0,22.54,0,22.54,6,0,20
14,6,0,0,17.82,0,17.82,7,0,20
15,5,0,1,5.84,1,105.84,8,0,20
16,6,0,1,21.96,0,21.96,9,0,20
17,2,0,2,9.09,3,309.09,10,0,20
18,2,0,3,11.69,3,311.69,11,0,20
19,5,0,2,11.31,2,211.31,12,0,20
20,5,0,3,7.25,3,307.25,13,0,20
21,6,0,2,15.8,2,215.8,14,0,20
22,6,0,3,10.23,1,110.23,15,0,20
23,6,0,4,13.29,1,113.28999999999999,16,0,20
24,5,0,4,16.99,2,216.99,17,0,20
25,2,0,4,6.79,0,6.79,18,0,20
