idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,12.94,0,0,20,0,12.94
2,3,0,1,22.46,0,0,20,0,22.46
3,4,0,2,19.65,0,1,20,0,19.65
4,5,0,0,5.12,0,0,20,0,5.12
5,5,0,2,9.2,0,1,20,0,9.2
6,4,0,0,15.65,0,0,20,0,15.65
7,5,0,1,5.01,0,0,20,0,5.01
8,3,0,2,23.44,0,0,20,0,23.44
9,4,0,3,20.68,0,1,20,0,20.68
10,4,0,1,12.72,0,0,20,0,12.72
11,5,0,3,15.85,1,0,20,0,15.85
12,1,0,0,15.58,2,0,20,0,15.58
13,5,0,4,20.42,3,0,20,0,20.42
14,2,0,0,11.32,4,0,20,0,11.32
15,4,0,4,23.4,5,0,20,0,23.4
16,1,0,1,21.4,6,0,20,0,21.4
17,2,0,1,20.63,7,0,20,0,20.63
18,6,0,0,15.1,8,0,20,0,15.1
19,6,0,1,7.76,9,0,20,0,7.76
20,3,0,3,23.45,10,0,20,0,23.45
21,3,0,4,23.96,11,0,20,0,23.96
22,6,0,2,19.83,12,0,20,0,19.83
23,6,0,3,12.85,13,0,20,0,12.85
24,6,0,4,8.45,14,0,20,0,8.45
25,2,0,2,13.53,15,0,20,0,13.53
26,2,0,3,5.27,16,0,20,0,5.27
27,2,0,4,5.54,17,0,20,0,5.54
