idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,1,17.05,0,0,1,20
2,2,0,0,7.76,0,0,0,20
3,4,0,2,17.85,0,0,1,20
4,4,0,3,20.17,0,0,1,20
5,4,0,0,10.42,0,0,0,20
6,2,0,1,19.64,1,0,0,20
7,1,0,0,15.64,2,0,0,20
8,1,0,1,5.51,3,0,0,20
9,1,0,2,5.52,4,0,0,20
10,1,0,3,19.29,5,0,0,20
11,2,0,2,20.86,6,0,0,20
12,3,0,0,9.95,7,0,0,20
13,3,0,1,8.57,8,0,0,20
14,3,0,2,16.42,9,0,0,20
15,5,0,0,7.57,10,0,0,20
16,6,0,0,18.93,11,0,0,20
17,2,0,3,21.85,12,0,0,20
18,5,0,1,12.81,13,0,0,20
19,5,0,2,17.35,14,0,0,20
20,2,0,4,23.41,15,0,0,20
21,3,0,3,10.91,16,0,0,20
22,6,0,1,21.09,17,0,0,20
23,1,0,4,8.34,18,0,0,20
24,3,0,4,17.11,19,0,0,20
25,5,0,3,9.05,20,0,0,20
