idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,18.35,0,0,0,20
2,2,0,3,14.43,0,0,1,20
3,2,0,2,11.65,0,0,1,20
4,2,0,1,10.44,0,0,0,20
5,2,0,4,17.74,0,0,1,20
6,1,0,0,6.23,1,0,0,20
7,1,0,1,16.87,2,0,0,20
8,4,0,0,14.07,3,0,0,20
9,4,0,1,14.39,4,0,0,20
10,6,0,0,22.0,5,0,0,20
11,1,0,2,9.22,6,0,0,20
12,5,0,0,16.0,7,0,0,20
13,1,0,3,12.71,8,0,0,20
14,1,0,4,13.08,9,0,0,20
15,4,0,2,20.54,10,0,0,20
16,5,0,1,21.25,11,0,0,20
17,3,0,0,15.3,12,0,0,20
18,3,0,1,15.33,13,0,0,20
19,3,0,2,6.4,14,0,0,20
20,3,0,3,10.11,15,0,0,20
