idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,2,0,2,21.87,0,1,20,0,21.87
2,3,0,2,21.52,0,1,20,0,21.52
3,3,0,0,18.94,0,0,20,0,18.94
4,2,0,3,22.31,0,1,20,0,22.31
5,3,0,1,14.04,0,0,20,0,14.04
6,5,0,0,6.65,0,0,20,0,6.65
7,2,0,0,21.15,0,0,20,0,21.15
8,5,0,1,10.73,0,0,20,0,10.73
9,2,0,1,21.04,0,0,20,0,21.04
10,2,0,4,22.54,0,1,20,0,22.54
11,3,0,3,21.85,1,0,20,0,21.85
12,1,0,0,8.3,2,0,20,0,8.3
13,1,0,1,8.97,3,0,20,0,8.97
14,3,0,4,23.86,4,0,20,0,23.86
15,4,0,0,5.88,5,0,20,0,5.88
16,5,0,2,21.7,6,0,20,0,21.7
17,1,0,2,15.91,7,0,20,0,15.91
18,1,0,3,21.43,8,0,20,0,21.43
19,4,0,1,19.36,9,0,20,0,19.36
20,6,0,0,13.42,10,0,20,0,13.42
21,6,0,1,13.56,11,0,20,0,13.56
22,5,0,3,23.61,12,0,20,0,23.61
23,6,0,2,13.04,13,0,20,0,13.04
