idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,11.73,1,111.73,0,0,20
2,4,0,1,6.65,1,106.65,0,1,20
3,4,0,0,13.8,0,13.8,0,0,20
4,2,0,2,9.62,3,309.62,0,1,20
5,1,0,0,19.26,1,119.26,0,0,20
6,1,0,4,22.0,2,222.0,0,1,20
7,1,0,2,12.69,1,112.69,0,1,20
8,2,0,1,9.34,3,309.34,0,0,20
9,1,0,1,5.81,1,105.81,0,0,20
10,1,0,3,18.44,1,118.44,0,1,20
11,3,0,0,12.75,2,212.75,1,0,20
12,4,0,2,20.72,1,120.72,2,0,20
13,5,0,0,10.55,2,210.55,3,0,20
14,6,0,0,19.34,0,19.34,4,0,20
15,5,0,1,10.97,2,210.97,5,0,20
16,6,0,1,13.16,0,13.16,6,0,20
17,6,0,2,13.88,0,13.88,7,0,20
18,2,0,3,12.81,3,312.81,8,0,20
19,2,0,4,23.05,3,323.05,9,0,20
20,4,0,3,21.34,1,121.34,10,0,20
