idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,3,5.32,2,205.32,0,1,20
2,6,0,2,19.1,1,119.1,0,1,20
3,4,0,0,9.47,0,9.47,0,0,20
4,6,0,4,12.21,3,312.21,0,1,20
5,4,0,4,17.86,3,317.86,0,1,20
6,4,0,1,16.25,0,16.25,0,0,20
7,4,0,2,16.43,0,16.43,0,1,20
8,6,0,0,12.32,1,112.32,0,0,20
9,6,0,3,9.41,3,309.41,0,1,20
10,6,0,1,17.56,1,117.56,0,1,20
11,1,0,0,6.15,3,306.15,1,0,20
12,1,0,1,13.1,3,313.1,2,0,20
13,2,0,0,14.16,1,114.16,3,0,20
14,2,0,1,21.69,1,121.69,4,0,20
15,3,0,0,11.79,0,11.79,5,0,20
16,2,0,2,6.0,3,306.0,6,0,20
17,3,0,1,18.69,2,218.69,7,0,20
18,5,0,0,21.6,1,121.6,8,0,20
19,3,0,2,19.32,2,219.32,9,0,20
20,1,0,2,16.51,3,316.51,10,0,20
