idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,14.27,0,14.27,0,0,20
2,2,0,0,21.62,1,121.62,0,0,20
3,6,0,4,17.43,3,317.43,0,1,20
4,6,0,3,17.14,3,317.14,0,1,20
5,6,0,0,11.97,1,111.97,0,0,20
6,2,0,1,6.84,2,206.84,0,0,20
7,1,0,1,5.62,1,105.62,0,2,20
8,6,0,1,7.23,3,307.23,0,0,20
9,3,0,0,8.07,0,8.07,0,1,20
10,6,0,2,15.04,3,315.04,0,0,20
11,1,0,2,12.08,1,112.08,1,0,20
12,2,0,2,8.2,3,308.2,2,0,20
13,1,0,3,5.69,3,305.69,3,0,20
14,3,0,1,5.59,1,105.59,4,0,20
15,2,0,3,18.09,3,318.09,5,0,20
16,3,0,2,15.4,2,215.4,6,0,20
17,4,0,0,12.84,2,212.84,7,0,20
18,5,0,0,14.25,0,14.25,8,0,20
19,5,0,1,14.83,1,114.83,9,0,20
20,5,0,2,10.29,1,110.28999999999999,10,0,20
