idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,5,0,4,7.97,0,1,20,3,307.97
2,5,0,3,21.23,0,1,20,2,221.23
3,1,0,1,20.43,0,1,20,0,20.43
4,5,0,0,9.38,0,0,20,0,9.38
5,5,0,1,6.34,0,0,20,2,206.34
6,1,0,0,12.94,0,1,20,0,12.94
7,2,0,0,23.11,0,0,20,0,23.11
8,5,0,2,5.86,0,0,20,2,205.86
9,2,0,2,17.28,0,1,20,3,317.28
10,2,0,1,12.18,0,1,20,1,112.18
11,3,0,0,15.6,1,0,20,0,15.6
12,4,0,0,7.7,2,0,20,0,7.7
13,1,0,2,17.39,3,0,20,2,217.39
14,3,0,1,7.1,4,0,20,2,207.1
15,3,0,2,11.47,5,0,20,2,211.47
16,1,0,3,6.24,6,0,20,3,306.24
17,3,0,3,13.34,7,0,20,2,213.34
18,4,0,1,8.4,8,0,20,0,8.4
19,4,0,2,15.67,9,0,20,0,15.67
20,2,0,3,22.94,10,0,20,3,322.94
