idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,20.95,1,120.95,0,0,20
2,1,0,0,17.44,0,17.44,0,0,20
3,5,0,1,11.83,1,111.83,0,0,20
4,1,0,1,13.79,0,13.79,0,0,20
5,1,0,2,18.7,0,18.7,0,0,20
6,5,0,2,11.52,2,211.52,0,0,20
7,5,0,3,22.79,2,222.79,0,1,20
8,5,0,4,10.81,3,310.81,0,1,20
9,1,0,3,19.93,0,19.93,0,1,20
10,1,0,4,23.32,0,23.32,0,1,20
11,2,0,0,12.02,1,112.02,1,0,20
12,2,0,1,5.92,2,205.92,2,0,20
13,2,0,2,22.66,2,222.66,3,0,20
14,3,0,0,9.62,1,109.62,4,0,20
15,4,0,0,6.46,0,6.46,5,0,20
16,4,0,1,6.78,0,6.78,6,0,20
17,3,0,1,17.16,1,117.16,7,0,20
18,6,0,0,5.95,0,5.95,8,0,20
19,4,0,2,9.43,1,109.43,9,0,20
20,6,0,1,5.64,0,5.64,10,0,20
