idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,11.2,1,111.2,0,0,20
2,2,0,1,5.94,3,305.94,0,1,20
3,2,0,0,18.93,2,218.93,0,0,20
4,4,0,0,6.36,3,306.36,0,0,20
5,2,0,3,21.55,3,321.55,0,1,20
6,4,0,4,18.23,2,218.23,0,1,20
7,4,0,3,12.37,1,112.37,0,1,20
8,4,0,1,12.66,2,212.66,0,0,20
9,2,0,2,8.99,3,308.99,0,1,20
10,4,0,2,17.56,0,17.56,0,0,20
11,1,0,0,19.24,0,19.24,1,0,20
12,1,0,1,21.49,0,21.49,2,0,20
13,3,0,0,7.99,0,7.99,3,0,20
14,6,0,1,14.51,1,114.51,4,0,20
15,1,0,2,11.68,3,311.68,5,0,20
16,3,0,1,13.87,2,213.87,6,0,20
17,1,0,3,19.07,3,319.07,7,0,20
18,5,0,0,10.81,0,10.81,8,0,20
19,6,0,2,7.29,2,207.29,9,0,20
20,3,0,2,17.72,2,217.72,10,0,20
