idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,12.02,2,212.02,0,0,20
2,3,0,0,18.58,3,318.58,0,0,20
3,3,0,3,8.38,1,108.38,0,1,20
4,2,0,0,18.51,0,18.51,0,0,20
5,3,0,2,21.59,0,21.59,0,1,20
6,3,0,4,16.97,1,116.97,0,1,20
7,2,0,1,23.08,0,23.08,0,0,20
8,2,0,2,17.39,0,17.39,0,0,20
9,6,0,1,22.18,2,222.18,0,1,20
10,3,0,1,8.73,0,8.73,0,0,20
11,1,0,0,6.65,0,6.65,1,0,20
12,2,0,3,13.53,2,213.53,2,0,20
13,2,0,4,7.68,3,307.68,3,0,20
14,1,0,1,15.67,0,15.67,4,0,20
15,1,0,2,21.7,3,321.7,5,0,20
16,4,0,0,22.11,1,122.11,6,0,20
17,4,0,1,8.24,2,208.24,7,0,20
18,5,0,0,19.09,0,19.09,8,0,20
19,5,0,1,16.03,0,16.03,9,0,20
20,6,0,2,9.85,3,309.85,10,0,20
