idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,5.47,1,105.47,0,0,20
2,5,0,0,14.25,2,214.25,0,0,20
3,5,0,4,19.42,0,19.42,0,1,20
4,5,0,1,10.85,0,10.85,0,0,20
5,2,0,0,14.4,2,214.4,0,0,20
6,5,0,3,5.8,0,5.8,0,1,20
7,4,0,1,8.81,2,208.81,0,0,20
8,5,0,2,5.55,0,5.55,0,0,20
9,4,0,3,16.91,3,316.91,0,1,20
10,4,0,2,20.61,2,220.61,0,1,20
11,1,0,0,14.58,0,14.58,1,0,20
12,3,0,0,13.51,0,13.51,2,0,20
13,2,0,1,5.17,3,305.17,3,0,20
14,1,0,1,11.19,1,111.19,4,0,20
15,1,0,2,14.03,1,114.03,5,0,20
16,4,0,4,21.5,3,321.5,6,0,20
17,1,0,3,5.67,2,205.67,7,0,20
18,3,0,1,15.6,1,115.6,8,0,20
19,6,0,0,5.29,0,5.29,9,0,20
20,2,0,2,19.51,3,319.51,10,0,20
