idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,4,0,1,22.96,0,1,20,0,22.96
2,5,0,2,12.94,0,1,20,0,12.94
3,5,0,0,12.02,0,0,20,0,12.02
4,5,0,4,19.57,0,1,20,0,19.57
5,5,0,1,12.56,0,1,20,0,12.56
6,5,0,3,16.81,0,1,20,0,16.81
7,4,0,0,22.22,0,0,20,0,22.22
8,1,0,0,19.42,1,0,20,0,19.42
9,2,0,0,13.91,2,0,20,0,13.91
10,4,0,2,23.55,3,0,20,0,23.55
11,1,0,1,22.98,4,0,20,0,22.98
12,3,0,0,9.39,5,0,20,0,9.39
13,2,0,1,20.68,6,0,20,0,20.68
14,2,0,2,21.01,7,0,20,0,21.01
15,2,0,3,21.84,8,0,20,0,21.84
16,3,0,1,19.06,9,0,20,0,19.06
17,6,0,0,15.26,10,0,20,0,15.26
18,6,0,1,13.86,11,0,20,0,13.86
19,6,0,2,9.3,12,0,20,0,9.3
20,6,0,3,11.93,13,0,20,0,11.93
