idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.58,1,0,20,0,13.58
2,1,0,1,20.32,2,0,20,0,20.32
3,2,0,0,6.57,3,0,20,0,6.57
4,2,0,1,12.15,4,0,20,0,12.15
5,3,0,0,7.42,5,0,20,0,7.42
6,3,0,1,9.78,6,0,20,0,9.78
7,3,0,2,10.53,7,0,20,0,10.53
8,2,0,2,14.61,8,0,20,0,14.61
9,2,0,3,18.53,9,0,20,0,18.53
10,1,0,2,22.56,10,0,20,0,22.56
11,3,0,3,12.8,11,0,20,0,12.8
12,4,0,0,6.17,12,0,20,0,6.17
13,4,0,1,8.68,13,0,20,0,8.68
14,2,0,4,22.14,14,0,20,0,22.14
15,3,0,4,14.72,15,0,20,0,14.72
16,5,0,0,8.24,16,0,20,0,8.24
17,6,0,0,6.99,17,0,20,0,6.99
18,4,0,2,15.56,18,0,20,0,15.56
19,4,0,3,16.69,19,0,20,0,16.69
20,5,0,1,12.02,20,0,20,0,12.02
21,4,0,4,22.06,21,0,20,0,22.06
22,5,0,2,16.07,22,0,20,0,16.07
23,6,0,1,13.64,23,0,20,0,13.64
