idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,22.3,1,0,0,20
2,1,0,1,23.75,2,0,0,20
3,2,0,0,7.39,3,0,0,20
4,5,0,0,14.93,4,0,0,20
5,5,0,1,18.1,5,0,0,20
6,1,0,2,9.08,6,0,0,20
7,1,0,3,12.08,7,0,0,20
8,1,0,4,13.71,8,0,0,20
9,2,0,1,17.29,9,0,0,20
10,5,0,2,23.3,10,0,0,20
11,3,0,0,14.16,11,0,0,20
12,6,0,0,20.53,12,0,0,20
13,4,0,0,7.82,13,0,0,20
14,4,0,1,5.28,14,0,0,20
15,4,0,2,19.08,15,0,0,20
16,3,0,1,9.74,16,0,0,20
17,3,0,2,15.83,17,0,0,20
18,4,0,3,21.44,18,0,0,20
19,2,0,2,10.56,19,0,0,20
20,2,0,3,13.02,20,0,0,20
21,2,0,4,10.13,21,0,0,20
22,3,0,3,16.08,22,0,0,20
23,3,0,4,6.78,23,0,0,20
24,6,0,1,20.52,24,0,0,20
25,6,0,2,10.69,25,0,0,20
