idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,14.81,0,0,0,20
2,2,0,2,8.94,0,0,1,20
3,1,0,3,18.32,0,0,1,20
4,1,0,0,8.5,0,0,1,20
5,4,0,1,20.79,0,0,0,20
6,2,0,0,7.32,0,0,0,20
7,1,0,4,19.93,0,0,1,20
8,1,0,2,14.29,0,0,1,20
9,2,0,1,6.34,0,0,0,20
10,1,0,1,13.41,0,0,1,20
11,6,0,0,11.39,1,0,0,20
12,5,0,0,8.08,2,0,0,20
13,3,0,0,7.62,3,0,0,20
14,5,0,1,9.86,4,0,0,20
15,5,0,2,13.11,5,0,0,20
16,5,0,3,14.11,6,0,0,20
17,2,0,3,10.59,7,0,0,20
18,3,0,1,9.21,8,0,0,20
19,3,0,2,5.03,9,0,0,20
20,5,0,4,19.63,10,0,0,20
21,6,0,1,13.78,11,0,0,20
22,4,0,2,22.89,12,0,0,20
23,6,0,2,22.75,13,0,0,20
24,2,0,4,15.32,14,0,0,20
25,3,0,3,22.72,15,0,0,20
26,3,0,4,17.87,16,0,0,20
27,6,0,3,9.86,17,0,0,20
