idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,5,0,0,17.32,0,0,20,0,17.32
2,3,0,1,18.34,0,1,20,0,18.34
3,6,0,0,23.14,0,0,20,0,23.14
4,3,0,3,21.31,0,1,20,0,21.31
5,3,0,2,20.01,0,1,20,0,20.01
6,6,0,1,6.41,0,0,20,0,6.41
7,6,0,2,15.84,0,0,20,0,15.84
8,6,0,3,14.4,0,0,20,0,14.4
9,6,0,4,12.13,0,0,20,0,12.13
10,3,0,0,8.63,0,1,20,0,8.63
11,5,0,1,20.31,1,0,20,0,20.31
12,1,0,0,18.55,2,0,20,0,18.55
13,5,0,2,22.52,3,0,20,0,22.52
14,2,0,0,10.65,4,0,20,0,10.65
15,4,0,0,6.77,5,0,20,0,6.77
16,2,0,1,15.51,6,0,20,0,15.51
17,1,0,1,21.6,7,0,20,0,21.6
18,1,0,2,22.47,8,0,20,0,22.47
19,4,0,1,15.3,9,0,20,0,15.3
20,4,0,2,14.2,10,0,20,0,14.2
