idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,11.9,11.9,0,4,0,0,20,0,0,0
2,11.87,11.87,0,4,0,1,20,0,0,0
3,22.89,22.89,1,4,0,2,20,0,0,0
4,10.42,10.42,1,2,0,1,20,0,0,0
5,17.94,17.94,1,5,0,3,20,0,0,0
6,13.25,13.25,1,5,0,2,20,0,0,0
7,6.73,6.73,0,2,0,0,20,0,0,0
8,8.15,8.15,1,5,0,0,20,0,0,0
9,20.6,20.6,1,5,0,4,20,0,0,0
10,11.04,11.04,1,5,0,1,20,0,0,0
11,7.75,7.75,0,3,0,0,20,1,0,0
12,5.35,5.35,0,1,0,0,20,2,0,0
13,20.8,20.8,0,2,0,2,20,3,0,0
14,11.77,11.77,0,3,0,1,20,4,0,0
15,20.81,20.81,0,2,0,3,20,5,0,0
16,19.06,19.06,0,3,0,2,20,6,0,0
17,8.46,8.46,0,1,0,1,20,7,0,0
18,19.45,19.45,0,3,0,3,20,8,0,0
19,7.89,7.89,0,1,0,2,20,9,0,0
20,14.59,14.59,0,1,0,3,20,10,0,0
21,17.25,17.25,0,6,0,0,20,11,0,0
22,9.99,9.99,0,1,0,4,20,12,0,0
23,16.1,16.1,0,6,0,1,20,13,0,0
24,23.58,23.58,0,4,0,3,20,14,0,0
25,11.4,11.4,0,6,0,2,20,15,0,0
