idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,17.21,17.21,0,1,0,0,20,0,0,0
2,9.84,9.84,0,5,0,0,20,0,0,0
3,21.28,21.28,0,1,0,1,20,0,0,0
4,8.07,8.07,1,2,0,2,20,0,0,0
5,6.88,6.88,0,2,0,0,20,0,0,0
6,12.97,12.97,1,2,0,4,20,0,0,0
7,13.63,13.63,0,5,0,1,20,0,0,0
8,9.13,9.13,1,2,0,3,20,0,0,0
9,6.35,6.35,0,2,0,1,20,0,0,0
10,19.82,19.82,0,1,0,2,20,0,0,0
11,22.35,22.35,0,1,0,3,20,1,0,0
12,20.67,20.67,0,5,0,2,20,2,0,0
13,8.33,8.33,0,3,0,0,20,3,0,0
14,11.54,11.54,0,3,0,1,20,4,0,0
15,13.56,13.56,0,3,0,2,20,5,0,0
16,12.09,12.09,0,3,0,3,20,6,0,0
17,9.06,9.06,0,4,0,0,20,7,0,0
18,18.91,18.91,0,3,0,4,20,8,0,0
19,16.77,16.77,0,6,0,0,20,9,0,0
20,15.2,15.2,0,4,0,1,20,10,0,0
21,16.75,16.75,0,4,0,2,20,11,0,0
22,18.74,18.74,0,4,0,3,20,12,0,0
23,23.51,23.51,0,1,0,4,20,13,0,0
24,17.76,17.76,0,6,0,1,20,14,0,0
25,7.94,7.94,0,6,0,2,20,15,0,0
