idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,16.74,16.74,0,1,0,0,20,0,0,0
2,6.62,6.62,0,5,0,0,20,0,0,0
3,9.65,9.65,0,1,0,1,20,0,0,0
4,21.09,21.09,1,6,0,3,20,0,0,0
5,8.64,8.64,1,5,0,2,20,0,0,0
6,7.46,7.46,1,5,0,1,20,0,0,0
7,17.0,17.0,1,6,0,2,20,0,0,0
8,17.32,17.32,0,6,0,0,20,0,0,0
9,16.74,16.74,0,6,0,1,20,0,0,0
10,14.47,14.47,1,1,0,2,20,0,0,0
11,15.98,15.98,0,4,0,0,20,1,0,0
12,17.31,17.31,0,4,0,1,20,2,0,0
13,20.62,20.62,0,4,0,2,20,3,0,0
14,21.31,21.31,0,4,0,3,20,4,0,0
15,18.59,18.59,0,1,0,3,20,5,0,0
16,17.63,17.63,0,5,0,3,20,6,0,0
17,8.21,8.21,0,2,0,0,20,7,0,0
18,22.85,22.85,0,4,0,4,20,8,0,0
19,17.12,17.12,0,2,0,1,20,9,0,0
20,8.56,8.56,0,2,0,2,20,10,0,0
21,5.85,5.85,0,3,0,0,20,11,0,0
22,16.93,16.93,0,2,0,3,20,12,0,0
23,5.37,5.37,0,3,0,1,20,13,0,0
24,6.3,6.3,0,3,0,2,20,14,0,0
25,16.65,16.65,0,2,0,4,20,15,0,0
