idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,13.37,13.37,0,2,0,0,20,0,0,0
2,15.97,15.97,0,6,0,0,20,0,0,0
3,13.86,13.86,0,2,0,1,20,0,0,0
4,6.89,6.89,0,3,0,0,20,0,0,0
5,14.46,14.46,1,3,0,4,20,0,0,0
6,21.95,21.95,1,6,0,2,20,0,0,0
7,11.5,11.5,1,3,0,2,20,0,0,0
8,20.95,20.95,1,6,0,1,20,0,0,0
9,14.03,14.03,1,3,0,3,20,0,0,0
10,10.56,10.56,0,3,0,1,20,0,0,0
11,11.54,11.54,0,1,0,0,20,1,0,0
12,21.62,21.62,0,2,0,2,20,2,0,0
13,5.32,5.32,0,1,0,1,20,3,0,0
14,6.38,6.38,0,1,0,2,20,4,0,0
15,18.6,18.6,0,1,0,3,20,5,0,0
16,18.15,18.15,0,4,0,0,20,6,0,0
17,19.04,19.04,0,1,0,4,20,7,0,0
18,7.77,7.77,0,5,0,0,20,8,0,0
19,9.94,9.94,0,5,0,1,20,9,0,0
20,17.93,17.93,0,5,0,2,20,10,0,0
21,9.61,9.61,0,5,0,3,20,11,0,0
22,17.7,17.7,0,5,0,4,20,12,0,0
23,10.93,10.93,0,4,0,1,20,13,0,0
24,15.9,15.9,0,4,0,2,20,14,0,0
25,19.52,19.52,0,4,0,3,20,15,0,0
