idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,0,11.65,0,0,0,20
2,6,0,1,5.47,0,0,0,20
3,4,0,2,18.29,0,0,1,20
4,4,0,0,13.92,0,0,0,20
5,4,0,1,16.88,0,0,1,20
6,6,0,3,8.81,0,0,1,20
7,6,0,2,6.83,0,0,0,20
8,2,0,0,7.25,0,0,0,20
9,6,0,4,9.14,0,0,1,20
10,4,0,3,20.78,0,0,1,20
11,1,0,0,6.73,1,0,0,20
12,2,0,1,11.41,2,0,0,20
13,2,0,2,17.96,3,0,0,20
14,4,0,4,23.24,4,0,0,20
15,3,0,0,9.73,5,0,0,20
16,2,0,3,18.57,6,0,0,20
17,5,0,0,16.64,7,0,0,20
18,2,0,4,19.72,8,0,0,20
19,1,0,1,6.17,9,0,0,20
20,5,0,1,22.27,10,0,0,20
21,1,0,2,8.29,11,0,0,20
22,3,0,1,15.8,12,0,0,20
23,1,0,3,9.5,13,0,0,20
24,1,0,4,11.46,14,0,0,20
25,3,0,2,12.63,15,0,0,20
